Rank,Gene
1372,CCT8
1373,PDHB
1374,SARS
1375,HELZ2
1376,TRIM33
1377,MAP4K4
1378,ECSIT
1379,BRD7
1380,RBBP4
1381,DERL2
1382,CLINT1
1383,WASHC3
1384,TOMM22
1385,OFD1
1386,PPP1CB
1387,ATF4
1388,OGFR
1389,BCAS2
1390,INPP5D
1391,SEM1
1392,DNTTIP2
1393,UBE2V2
1394,PTPN18
1395,SERINC1
1396,CEP85L
1397,ACTR3
1398,NME3
1399,RCN2
1400,GABARAPL2
1401,PYCARD
1402,GOLT1B
1403,VCPIP1
1404,DIDO1
1405,MRPL22
1406,SAFB2
1407,HBS1L
1408,C1orf174
1409,POP5
1410,RBM7
1411,LAMTOR4
1412,CLK4
1413,GADD45GIP1
1414,PDIA4
1415,LIX1L
1416,TMEM216
1417,MEX3C
1418,THYN1
1419,NAXE
1420,PTPN1
1421,TACC1
1422,TRAF4
1423,LTA4H
1424,NDUFC1
1425,FBRS
1426,TM2D3
1427,SUMO1
1428,ACBD3
1429,RALGDS
1430,DPP8
1431,PHPT1
1432,CLTB
1433,TXNDC11
1434,SPTY2D1
1435,HELZ
1436,FOXO1
1437,TMEM87A
1438,SNRPD3
1439,TRA2A
1440,SETD5
1441,PRPF38B
1442,NUDT14
1443,CHCHD10
1444,MARCH7
1445,UTP18
1446,PSMB4
1447,AP2A2
1448,PFDN6
1449,RAB29
1450,OLA1
1451,PPP1R12A
1452,EXOSC6
1453,GPN2
1454,THOC2
1455,COPS2
1456,SBDS
1457,SEC61A1
1458,NDUFB8
1459,RAP1A
1460,PIN1
1461,WDR45
1462,DDX50
1463,SPG7
1464,TES
1465,SUMO3
1466,TSN
1467,SAR1B
1468,ZC3H8
1469,MDH2
1470,POLE3
1471,SDF2
1472,SPTBN1
1473,TNPO1
1474,RBL2
1475,PUM1
1476,RNF166
1477,NIPSNAP3A
1478,GPATCH8
1479,KTN1
1480,TMPO
1481,COPE
1482,MT-CO1
1483,TOMM20
1484,GTF2B
1485,MEI1
1486,FYTTD1
1487,RGS14
1488,UBE2I
1489,TMEM138
1490,ADAM10
1491,JAK3
1492,RAB14
1493,CYB561D2
1494,RBMS1
1495,VASP
1496,WASL
1497,RMDN3
1498,RNF11
1499,MALAT1
1500,SURF4
1501,VMP1
1502,SDF4
