p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Marker_Rank
1.019747994659506e-104,1.563278226077914,0.407,0.155,1.929873079893115e-100,8,AQP3,10
0,2.1414525677200844,0.82,0.29,0,9,FOSB,1
5.3704819125242376e-272,2.330869502199418,0.673,0.206,1.016363701945212e-267,9,HSPA1B,2
3.098913783924841e-240,1.5472588305173747,0.888,0.468,5.864694336077762e-236,9,FOS,3
2.2154897393505708e-222,1.1985981929871712,0.939,0.63,4.192814331720955e-218,9,DUSP1,4
1.3487342938712739e-218,1.6385774464662355,0.794,0.353,2.5524796511513857e-214,9,PPP1R15A,5
1.4403860672061094e-205,1.2809914817869092,0.9,0.617,2.725930632187562e-201,9,DNAJB1,6
6.531545296192858e-202,1.1038871087137379,0.909,0.656,1.2360949473044984e-197,9,DNAJA1,7
2.2237172924356012e-178,2.1303121008466754,0.535,0.176,4.2083849759343755e-174,9,NEU1,8
1.7434715931880618e-171,2.5663264452139427,0.377,0.088,3.2995199901084068e-167,9,EGR1,9
5.469425481714034e-165,1.2449536027160018,0.848,0.513,1.0350887724143809e-160,9,KLF6,10
