"Donor","Phase","CD8_Cluster","Cells","Total_CD8_Cells","Proportion_of_Donor_CD8","Percentage_of_Donor_CD8"
"P191028","IA","10",1,5036,0.000198570293884035,0.0198570293884035
"P191028","IA","11",75,5036,0.0148927720413026,1.48927720413026
"P191028","IA","12",29,5036,0.00575853852263701,0.575853852263701
"P191028","IA","14",2,5036,0.00039714058776807,0.039714058776807
"P191028","IA","15",1,5036,0.000198570293884035,0.0198570293884035
"P191028","IA","2",3708,5036,0.736298649722002,73.6298649722002
"P191028","IA","3",363,5036,0.0720810166799047,7.20810166799047
"P191028","IA","4",70,5036,0.0138999205718824,1.38999205718824
"P191028","IA","5",248,5036,0.0492454328832407,4.92454328832407
"P191028","IA","6",256,5036,0.0508339952343129,5.08339952343129
"P191028","IA","8",87,5036,0.017275615567911,1.7275615567911
"P191028","IA","9",2,5036,0.00039714058776807,0.039714058776807
"P191112","IA","0",758,2623,0.28898208158597,28.898208158597
"P191112","IA","1",73,2623,0.0278307281738467,2.78307281738467
"P191112","IA","10",29,2623,0.0110560426991994,1.10560426991994
"P191112","IA","11",91,2623,0.0346930995043843,3.46930995043843
"P191112","IA","12",6,2623,0.00228745711017918,0.228745711017918
"P191112","IA","14",1,2623,0.000381242851696531,0.0381242851696531
"P191112","IA","15",6,2623,0.00228745711017918,0.228745711017918
"P191112","IA","2",43,2623,0.0163934426229508,1.63934426229508
"P191112","IA","3",456,2623,0.173846740373618,17.3846740373618
"P191112","IA","4",77,2623,0.0293556995806329,2.93556995806329
"P191112","IA","5",344,2623,0.131147540983607,13.1147540983607
"P191112","IA","6",83,2623,0.031643156690812,3.1643156690812
"P191112","IA","7",2,2623,0.000762485703393061,0.0762485703393061
"P191112","IA","8",651,2623,0.248189096454441,24.8189096454441
"P191112","IA","9",3,2623,0.00114372855508959,0.114372855508959
"P191126","AC","0",454,1117,0.406445837063563,40.6445837063563
"P191126","AC","1",22,1117,0.0196956132497762,1.96956132497762
"P191126","AC","10",9,1117,0.00805729632945389,0.805729632945389
"P191126","AC","11",36,1117,0.0322291853178156,3.22291853178156
"P191126","AC","12",3,1117,0.0026857654431513,0.26857654431513
"P191126","AC","15",1,1117,0.000895255147717099,0.0895255147717099
"P191126","AC","2",22,1117,0.0196956132497762,1.96956132497762
"P191126","AC","3",103,1117,0.0922112802148612,9.22112802148612
"P191126","AC","4",8,1117,0.00716204118173679,0.716204118173679
"P191126","AC","5",167,1117,0.149507609668756,14.9507609668756
"P191126","AC","6",234,1117,0.209489704565801,20.9489704565801
"P191126","AC","7",32,1117,0.0286481647269472,2.86481647269472
"P191126","AC","8",25,1117,0.0223813786929275,2.23813786929275
"P191126","AC","9",1,1117,0.000895255147717099,0.0895255147717099
"P191127","AC","0",818,3163,0.258615238697439,25.8615238697439
"P191127","AC","1",26,3163,0.00822004426177679,0.822004426177679
"P191127","AC","10",2,3163,0.000632311097059753,0.0632311097059753
"P191127","AC","11",35,3163,0.0110654441985457,1.10654441985457
"P191127","AC","12",35,3163,0.0110654441985457,1.10654441985457
"P191127","AC","2",54,3163,0.0170723996206133,1.70723996206133
"P191127","AC","3",155,3163,0.0490041100221309,4.90041100221309
"P191127","AC","4",16,3163,0.00505848877647803,0.505848877647803
"P191127","AC","5",163,3163,0.0515333544103699,5.15333544103699
"P191127","AC","6",180,3163,0.0569079987353778,5.69079987353778
"P191127","AC","7",1662,3163,0.525450521656655,52.5450521656655
"P191127","AC","8",11,3163,0.00347771103382864,0.347771103382864
"P191127","AC","9",6,3163,0.00189693329117926,0.189693329117926
"P191210","AC","1",883,1193,0.740150880134116,74.0150880134116
"P191210","AC","10",201,1193,0.16848281642917,16.848281642917
"P191210","AC","13",1,1193,0.000838222967309304,0.0838222967309304
"P191210","AC","15",90,1193,0.0754400670578374,7.54400670578374
"P191210","AC","3",18,1193,0.0150880134115675,1.50880134115675
"P191217","AR","0",441,2155,0.204640371229698,20.4640371229698
"P191217","AR","1",51,2155,0.0236658932714617,2.36658932714617
"P191217","AR","10",1,2155,0.000464037122969838,0.0464037122969838
"P191217","AR","11",33,2155,0.0153132250580046,1.53132250580046
"P191217","AR","12",723,2155,0.335498839907193,33.5498839907193
"P191217","AR","15",4,2155,0.00185614849187935,0.185614849187935
"P191217","AR","2",80,2155,0.037122969837587,3.7122969837587
"P191217","AR","3",135,2155,0.0626450116009281,6.26450116009281
"P191217","AR","4",96,2155,0.0445475638051044,4.45475638051044
"P191217","AR","5",506,2155,0.234802784222738,23.4802784222738
"P191217","AR","6",63,2155,0.0292343387470998,2.92343387470998
"P191217","AR","8",22,2155,0.0102088167053364,1.02088167053364
