"feature","mean","variance"
"AC104129.1",-0.0100318607729302,0.0135951432607718
"LIPN",-0.00858706296416448,0.00906040292981925
"NR4A1",-4.87452394073987e-16,1
"IGLV2-8",-0.00779559196125679,0.825180624950846
"PTGR1",-0.00615216489037447,0.0045277927483638
"THBS1",-1.21868746400668e-17,0.999999999999999
"FCRL5",-0.0148612033388525,0.0362969127301124
"SERPINE1",-0.0236680778485721,0.166110202977721
"KHDRBS2",-0.00853719161345486,0.00906031263667327
"PRF1",1.12266311264922e-15,1
"TRAV40",-0.0235592252473081,0.170665190955375
"AP001056.2",-0.00617424959823963,0.00452781273508573
"RBP7",-0.0101664760334482,0.0135955089191599
"AC009560.1",-0.00626271660753706,0.00452789279841705
"CD22",-0.0144143990381455,0.0317555283513719
"GPRC5A",-0.00740206765618307,0.00679353958101503
"AC106882.1",-0.00626662958917366,0.00452789633971221
"DNAH8",-0.0181825143097471,0.0590349637671798
"KAZN",-0.00851424367027037,0.009060271089083
"HAAO",-0.00942556922269987,0.0113276575503353
"CCL3L1",1.32371297068853e-16,0.999999999999998
"GRPEL2-AS1",-0.00851167322174524,0.00906026643525389
"AL591848.3",-0.00845291401321276,0.00906016005130002
"CD79A",-0.0223503318308898,0.395703278255125
"REEP1",-0.00744011474631007,0.00679359123775918
"STX1B",-0.0102608562921188,0.0135957652892614
"AC005253.2",-0.00853645629438976,0.00906031130536576
"AC245884.8",-0.0073833573910423,0.00679351417805688
"AL008719.1",-0.00626279928233952,0.00452789287323871
"SELL",-8.76363050198417e-18,1
"OR52N4",-0.00752934332838072,0.00679371238466764
"PDCD1",-2.29177127056034e-15,0.999999999999996
"S100A10",4.86719644116548e-15,1
"GNG3",-0.00626958909943319,0.00452789901810528
"TRAJ28",-0.00623759225605073,0.00452787006061162
"HES1",-0.0215759997147874,0.109115780589583
"THY1",-0.0175131019451927,0.0544840652515323
"LINC01484",-0.0085681440459772,0.00906036867666069
"AC245884.10",-0.0062236544719844,0.00452785744679336
"PTGDR2",-0.00614164637857749,0.00452778322909693
"HES4",1.46950363579565e-16,1
"TRAV8-3",1.2088852507277e-16,1
"ID2",-5.94663254630534e-15,1
"TCL1A",-0.0130376907138671,0.0249422203122996
"AC010336.1",-0.0121064792267014,0.0204025527761984
"IFNGR1",-5.94588953602863e-16,1
"BHLHE41",-0.00748560203212856,0.00679365299635581
"IGKV1D-8",-0.019971715743872,0.0795147217552075
"LINC00578",-0.00619662707968991,0.00452783298681357
"AL583839.1",-0.00626415654653221,0.00452789410157889
"WDFY4",-0.0154049858628615,0.0385705302910882
"BCAS1",-0.0151605556414087,0.0362990826507076
"AC116447.1",-0.00616306391327204,0.00452780261200427
"NEAT1",-5.43002829463456e-15,0.999999999999995
"UBE2S",-9.93484437863137e-16,1
"NR3C1",-5.86582202066037e-15,1
"H2AFZ",2.32321397191993e-16,0.999999999999998
"CPVL",-0.0229796526400413,0.145581186958723
"IL23R",-0.0154736283539687,0.637595618623442
"FANK1",-0.0151344488072005,0.036298893407032
"TBC1D9",-0.00981218778771746,0.0135945465687779
"RAMP2",-0.00845430400073527,0.00906016256787483
"ICOS",6.02383030998827e-16,0.999999999999999
"LINC00926",-0.019824498210686,0.0795123852465773
"PDE8B",-0.00623745522348232,0.00452786993659585
"AC093752.2",-0.00625326692790484,0.00452788424634974
"LINC00638",-0.0085673434905767,0.00906036722723722
"S100A6",-6.83625619629878e-16,1
"AL121845.1",-0.0127266049619706,0.0226728240881745
"TIMP3",-0.0124659680778691,0.0226716437309061
"TRGV5",3.81651244907319e-16,1
"WDFY3",-0.00626626351013264,0.00452789600840624
"BTG2",-5.98957213936644e-15,0.999999999999998
"CX3CR1",4.10249610051352e-17,1
"FAM153C",-0.0115283108278926,0.0181330979119903
"LINC00332",-0.00610959020602119,0.00452775421828075
"NSUN7",-0.0100729236207739,0.0135952548001659
"HRASLS5",-0.0120481021404865,0.0204023148566132
"LINC02042",-0.0136686929639491,0.027213739843628
"GIMAP7",1.65672590942422e-15,0.999999999999999
"AC009802.1",-0.0075346271759215,0.00679371955865609
"MIF-AS1",-0.00751472004807882,0.00679369253035905
"AC233755.1",-0.00623189271768174,0.0045278649024767
"TRAV39",-0.0018452638765442,0.960994297994278
"AL359715.2",-0.00626889125373144,0.00452789838654629
"LEPROTL1",-8.09552102664854e-15,0.999999999999997
"AC126118.1",-0.0075163415562665,0.00679369473191044
"COL19A1",-0.00925545119058523,0.0113272725087718
"BICDL2",-0.0213313606593493,0.102284104672361
"RDH5",-0.0167937110480245,0.047663475436307
"AC068580.4",-0.00944920149305283,0.0113277110396349
"AC123912.4",-0.00854732069857623,0.00906033097556188
"SH2D2A",-4.41191618812202e-15,1
"AC141586.3",-0.00943548971068285,0.0113276800043603
"MEF2C-AS1",-0.00940890062513083,0.0113276198226941
"CTLA4",9.8248048076666e-18,1
"GLP1R",-0.00619061357610889,0.0045278275445596
"GBP5",-3.45346156278233e-15,1
"PACSIN3",-0.00621188316654416,0.00452784679367117
"ENC1",2.30253613397824e-15,0.999999999999999
"TRAJ17",-0.0108388103909231,0.0158639165397134
"NEU1",3.31380073245812e-16,0.999999999999997
"AC012377.1",-0.0115091858115247,0.0181330286327649
"SDCBP",-4.14635253311371e-15,1
"RARRES3",-1.02704989965883e-14,1
"MEIKIN",-0.0144224470425005,0.0317555793915472
"NR4A3",3.18457718838589e-15,0.999999999999997
