"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
1.23028652242543e-56,0.31913494720944,0.269,0.187,2.32831724369012e-52,"0","MANF","CD8_Memory_GPR183"
3.49523151331528e-93,0.317358099513202,0.505,0.355,6.61472563894916e-89,"0","NFE2L2","CD8_Memory_GPR183"
3.61711324852053e-59,0.316876268534967,0.286,0.201,6.8453868228251e-55,"0","ATP6V0D1","CD8_Memory_GPR183"
7.03080890405691e-70,0.316321646811802,0.337,0.233,1.33058058509277e-65,"0","CD55","CD8_Memory_GPR183"
2.91220703831147e-131,0.316056614577505,0.795,0.599,5.51135182000445e-127,"0","LITAF","CD8_Memory_GPR183"
1.17974901775315e-58,0.314457678413514,0.278,0.194,2.23267501609783e-54,"0","ZMAT2","CD8_Memory_GPR183"
2.96057612616416e-131,0.313295852188693,0.726,0.516,5.60289031876567e-127,"0","TSC22D3","CD8_Memory_GPR183"
1.05566088098368e-157,0.310520584014846,0.887,0.68,1.99783821726162e-153,"0","GZMK","CD8_Memory_GPR183"
2.74315527276183e-113,0.309583930730527,0.684,0.492,5.19142135370175e-109,"0","EMD","CD8_Memory_GPR183"
3.88757743643427e-124,0.309245333446237,0.8,0.611,7.35724029845186e-120,"0","TAGLN2","CD8_Memory_GPR183"
8.91672227135332e-93,0.308191989967393,0.497,0.354,1.68748968985362e-88,"0","GHITM","CD8_Memory_GPR183"
1.32636650582786e-124,0.306971270894472,0.819,0.614,2.51014861227922e-120,"0","SRSF2","CD8_Memory_GPR183"
3.82148031523763e-66,0.306589657764205,0.363,0.259,7.23215149658721e-62,"0","TIPARP","CD8_Memory_GPR183"
1.21465696325854e-56,0.305913480768279,0.291,0.205,2.29873830296678e-52,"0","DDX27","CD8_Memory_GPR183"
4.62674850416726e-100,0.305571406563454,0.571,0.408,8.75612154413655e-96,"0","COX7B","CD8_Memory_GPR183"
9.41768374848643e-73,0.304963501839137,0.409,0.293,1.78229664940106e-68,"0","ORAI1","CD8_Memory_GPR183"
8.0246990427865e-106,0.304593038012551,0.713,0.501,1.51867429384735e-101,"0","VPS37B","CD8_Memory_GPR183"
1.18249154297397e-74,0.304417543730371,0.404,0.287,2.23786524507823e-70,"0","DCXR","CD8_Memory_GPR183"
6.70152982686037e-57,0.303739407617878,0.311,0.223,1.26826451973332e-52,"0","H2AFX","CD8_Memory_GPR183"
1.69422718998559e-92,0.303726690043514,0.586,0.411,3.20632495704773e-88,"0","DUSP5","CD8_Memory_GPR183"
5.25918420152266e-116,0.303404684223535,0.819,0.58,9.95300610138163e-112,"0","TNFAIP3","CD8_Memory_GPR183"
2.29575875208876e-70,0.30225137336594,0.367,0.26,4.34472343832798e-66,"0","ELOC","CD8_Memory_GPR183"
1.06112927361298e-76,0.299216333825864,0.365,0.241,2.00818715031257e-72,"0","DUSP4","CD8_Memory_GPR183"
1.15877298569199e-64,0.2977692970483,0.333,0.236,2.19297787542208e-60,"0","YWHAE","CD8_Memory_GPR183"
1.51684928504133e-102,0.297016103963938,0.682,0.488,2.87063727194071e-98,"0","CD8B","CD8_Memory_GPR183"
2.34702940075508e-51,0.296108135530914,0.271,0.193,4.44175314092899e-47,"0","RNF138","CD8_Memory_GPR183"
3.273345624831e-56,0.296010366451248,0.283,0.199,6.19480659499267e-52,"0","COQ10B","CD8_Memory_GPR183"
1.04002552219802e-57,0.29560755481212,0.296,0.209,1.96824830075976e-53,"0","YTHDF2","CD8_Memory_GPR183"
6.35694287701656e-113,0.295215588002032,0.739,0.54,1.20305143947538e-108,"0","SAP18","CD8_Memory_GPR183"
8.62782261537329e-69,0.295135054658758,0.395,0.281,1.6328154299594e-64,"0","BIRC3","CD8_Memory_GPR183"
1.43778697219244e-95,0.294555769360935,0.515,0.357,2.7210118448742e-91,"0","CNOT6L","CD8_Memory_GPR183"
5.7744615303461e-67,0.293707877649704,0.35,0.248,1.092816844618e-62,"0","LAMTOR5","CD8_Memory_GPR183"
2.62712634708142e-78,0.293664196786197,0.431,0.307,4.97183661185158e-74,"0","MAT2B","CD8_Memory_GPR183"
7.42479585012352e-62,0.293392208568083,0.279,0.188,1.40514261463588e-57,"0","ICOS","CD8_Memory_GPR183"
1.42797612366578e-108,0.292967692964345,0.818,0.611,2.70244481403748e-104,"0","DDX24","CD8_Memory_GPR183"
7.47850271294047e-59,0.292881330722209,0.304,0.215,1.41530663842398e-54,"0","CTR9","CD8_Memory_GPR183"
6.36566916607996e-63,0.29206826351634,0.337,0.24,1.20470288968063e-58,"0","CMPK1","CD8_Memory_GPR183"
1.77259781944255e-99,0.291847295310077,0.597,0.425,3.35464137329503e-95,"0","ATP5MD","CD8_Memory_GPR183"
7.46510920713462e-41,0.291119078043735,0.267,0.198,1.41277191745023e-36,"0","KDM6B","CD8_Memory_GPR183"
7.72930072963468e-66,0.290655599074682,0.384,0.278,1.46277016308336e-61,"0","DNTTIP2","CD8_Memory_GPR183"
5.37936726116616e-107,0.290248966740129,0.736,0.535,1.0180452541757e-102,"0","POLR2L","CD8_Memory_GPR183"
4.07446232046739e-84,0.290167047120848,0.465,0.329,7.71091994148453e-80,"0","GABARAPL2","CD8_Memory_GPR183"
3.27112150884394e-55,0.290021061326573,0.303,0.217,6.19059745548716e-51,"0","STAU1","CD8_Memory_GPR183"
3.65064487381699e-67,0.289608478661786,0.345,0.242,6.90884542369866e-63,"0","IMP3","CD8_Memory_GPR183"
