"Rank","Gene"
933,"SPECC1L-ADORA2A"
934,"LMNB1-DT"
935,"AC104129.1"
936,"MIR3945HG"
937,"CD38"
938,"UCN"
939,"IGKV1-9"
940,"LINC00242"
941,"AC093591.2"
942,"AL513548.3"
943,"RGS7BP"
944,"AC074050.4"
945,"AC009686.2"
946,"CCNH"
947,"AC093512.1"
948,"HLA-DRB5"
949,"AC068831.1"
950,"AC008629.1"
951,"MTRNR2L1"
952,"CYP2J2"
953,"LAMB2"
954,"TSSK6"
955,"MT-ND4"
956,"MYO1E"
957,"MIP"
958,"VWA1"
959,"AC091185.1"
960,"VN1R1"
961,"AC135178.3"
962,"AC022973.2"
963,"IGKV3-20"
964,"GP1BA"
965,"PARD6G-AS1"
966,"WSCD2"
967,"DDX24"
968,"AL136304.1"
969,"RANBP2"
970,"AC007786.1"
971,"RBKS"
972,"SOCS1"
973,"TAS2R19"
974,"AP000442.1"
975,"PPDPF"
976,"RBM38"
977,"TNFRSF19"
978,"AC068987.5"
979,"AC099489.3"
980,"AL359258.1"
981,"LINC01521"
982,"AL354732.1"
983,"SAMD12-AS1"
984,"TAS2R5"
985,"LINC00636"
986,"AL445685.1"
987,"SPATA4"
988,"AC107884.1"
989,"NRXN2"
990,"LINC01606"
991,"IL6R-AS1"
992,"CD44"
993,"IGKV1D-33"
994,"CCR4"
995,"C1orf194"
996,"TAS2R46"
997,"KCNMA1"
998,"AL161785.2"
999,"KLRG1"
1000,"LRRC49"
1001,"CIDEC"
1002,"CLEC4M"
1003,"MAT1A"
1004,"AL121845.1"
1005,"CCDC181"
1006,"ID1"
1007,"CYP4F3"
1008,"CLEC4E"
1009,"AC005972.1"
1010,"TRAV9-1"
1011,"BAG3"
1012,"ZNF775"
1013,"SERTAD1"
1014,"AC104035.1"
1015,"PCDH12"
1016,"AL592494.3"
1017,"AC010319.4"
1018,"PTPN22"
1019,"ATP5MC2"
1020,"AC108134.2"
1021,"NKG7"
1022,"GZMM"
1023,"AC084048.1"
1024,"STARD8"
1025,"AL031600.1"
1026,"AC005730.2"
1027,"ENKUR"
1028,"AL391684.1"
1029,"OBSL1"
1030,"KAZN"
1031,"SPIB"
1032,"EPHX3"
1033,"KIAA0319"
1034,"IER3"
1035,"IGHV3-72"
1036,"AL021920.3"
1037,"CNN2"
1038,"AC009159.3"
1039,"MMRN1"
1040,"NOXRED1"
1041,"AC009148.1"
1042,"C1S"
1043,"NNMT"
1044,"SERPINH1"
1045,"MCTP1"
1046,"AC009093.6"
1047,"AC104461.1"
1048,"SHISA9"
1049,"AL358115.1"
1050,"AC055855.2"
1051,"C9orf153"
1052,"FAM69B"
1053,"TLR10"
1054,"LINC00654"
1055,"RMRP"
1056,"AC004494.1"
1057,"AC015969.1"
1058,"LINC01864"
1059,"AL691403.2"
1060,"KLRF1"
1061,"INSIG1"
1062,"APOL4"
1063,"ALX1"
1064,"DDX3X"
1065,"FOXP3"
1066,"LINC00638"
1067,"AC112484.1"
1068,"PTGER4"
1069,"SIT1"
1070,"CDKN1A"
1071,"PLBD1"
1072,"FAM129C"
1073,"SNX9"
1074,"GRPEL2-AS1"
1075,"AL355987.3"
1076,"TNFSF9"
1077,"LPAR3"
1078,"RHOH"
1079,"SERPINA1"
1080,"IGHV3-64D"
1081,"C1QC"
1082,"PABPC3"
1083,"CCR2"
1084,"CERKL"
1085,"SQSTM1"
1086,"AC016831.7"
1087,"CFB"
1088,"GSDMA"
1089,"KIAA1024"
1090,"PRSS57"
1091,"AC012636.1"
1092,"PPIAL4C"
1093,"TLL1"
1094,"AC008972.2"
1095,"AC018845.3"
1096,"ALPL"
1097,"TEX38"
1098,"AL137784.2"
1099,"LINC02367"
1100,"STK17B"
1101,"CELF4"
1102,"HSD11B2"
1103,"AC007114.2"
